"Default value: form[data-role=""tocart-form""], button.tocart","Default value: form[data-role=""tocart-form""], button.tocart"
"Category Item Selector","Category Item Selector"
"Are you sure?","Are you sure?"
"Request ID","Request ID"
Name,Name
Email,Email
Phone,Phone
"Product Id","Product Id"
"Leave -- Default Config -- to keep using the Stores > Configuration > Hide Price settings","Leave -- Default Config -- to keep using the Stores > Configuration > Hide Price settings"
"-- Default Config --","-- Default Config --"
"Enable Display Price Mode for the selected customer groups only","Enable Display Price Mode for the selected customer groups only"
